abbr;time;hto000d0
BAS;20171115;0
BAS;20171116;0
BAS;20171117;0
BAS;20171118;0
BAS;20171119;0
BAS;20171120;0
BAS;20171121;0
BAS;20171122;0
BAS;20171123;0
BAS;20171124;0
BAS;20171125;0
BAS;20171126;0
BAS;20171127;0
BAS;20171128;0
BAS;20171129;0
BAS;20171130;0
BAS;20171201;0
BAS;20171202;0
BAS;20171203;0
BAS;20171204;3
BAS;20171205;0
BAS;20171206;0
BAS;20171207;0
BAS;20171208;0
BAS;20171209;3
BAS;20171210;2
BAS;20171211;0
BAS;20171212;0
BAS;20171213;0
BAS;20171214;0
BAS;20171215;0
BAS;20171216;0
BAS;20171217;0
BAS;20171218;4
BAS;20171219;1
BAS;20171220;0
BAS;20171221;0
BAS;20171222;0
BAS;20171223;0
BAS;20171224;0
BAS;20171225;0
BAS;20171226;0
BAS;20171227;0
BAS;20171228;0
BAS;20171229;0
BAS;20171230;0
BAS;20171231;0
